patient_id,label,weight,heatmap_color
EZT007_seiz003,M10,0.9888,1
EZT007_seiz003,O6,0.9885,1
EZT007_seiz003,O4,0.9788,1
EZT007_seiz003,X1,0.9770,1
EZT007_seiz003,E2,0.9684,1
EZT007_seiz003,E6,0.9630,1
EZT007_seiz003,O5,0.9624,1
EZT007_seiz003,E3,0.9592,1
EZT007_seiz003,B3,0.9565,1
EZT007_seiz003,O3,0.9510,1
EZT007_seiz003,M5,0.9494,2
EZT007_seiz003,I8,0.9471,2
EZT007_seiz003,Q10,0.9416,2
EZT007_seiz003,B4,0.9393,2
EZT007_seiz003,T8,0.9299,2
EZT007_seiz003,T2,0.9286,2
EZT007_seiz003,I5,0.9285,2
EZT007_seiz003,T10,0.9279,2
EZT007_seiz003,T9,0.9266,2
EZT007_seiz003,U10,0.9248,2
EZT007_seiz003,F10,0.9242,2
EZT007_seiz003,I6,0.9232,2
EZT007_seiz003,E9,0.9220,2
EZT007_seiz003,B10,0.9211,2
EZT007_seiz003,M9,0.9209,2
EZT007_seiz003,E8,0.9198,2
EZT007_seiz003,E7,0.9168,2
EZT007_seiz003,T7,0.9138,2
EZT007_seiz003,C10,0.9126,2
EZT007_seiz003,E1,0.9088,2
EZT007_seiz003,U8,0.9068,2
EZT007_seiz003,O7,0.9026,2
EZT007_seiz003,I7,0.9007,2
EZT007_seiz003,B8,0.9002,2
EZT007_seiz003,E10,0.8971,3
EZT007_seiz003,C9,0.8958,3
EZT007_seiz003,B6,0.8940,3
EZT007_seiz003,C7,0.8847,3
EZT007_seiz003,M2,0.8796,3
EZT007_seiz003,B2,0.8760,3
EZT007_seiz003,T4,0.8721,3
EZT007_seiz003,B7,0.8704,3
EZT007_seiz003,C8,0.8645,3
EZT007_seiz003,B5,0.8586,3
EZT007_seiz003,T6,0.8462,4
EZT007_seiz003,U7,0.8421,4
EZT007_seiz003,M3,0.8402,4
EZT007_seiz003,U9,0.8395,4
EZT007_seiz003,C6,0.8330,4
EZT007_seiz003,T3,0.8214,4
EZT007_seiz003,I4,0.8114,4
EZT007_seiz003,O2,0.8112,4
EZT007_seiz003,T5,0.8104,4
EZT007_seiz003,I1,0.8025,4
EZT007_seiz003,T1,0.7962,5
EZT007_seiz003,X3,0.7716,5
EZT007_seiz003,B1,0.7194,6
EZT007_seiz003,O1,0.6704,7
EZT007_seiz003,B9,0.6667,7
EZT007_seiz003,U1,0.6586,7
EZT007_seiz003,M1,0.6305,8
EZT007_seiz003,E4,0.6275,8
EZT007_seiz003,F1,0.6143,8
EZT007_seiz003,X4,0.5683,9
EZT007_seiz003,M6,0.5452,10
EZT007_seiz003,I9,0.5293,10
EZT007_seiz003,I10,0.5268,10
EZT007_seiz003,M7,0.5104,10
EZT007_seiz003,X6,0.4970,11
EZT007_seiz003,U6,0.4612,11
EZT007_seiz003,U5,0.4595,11
EZT007_seiz003,C2,0.4339,12
EZT007_seiz003,U4,0.4248,12
EZT007_seiz003,X5,0.4247,12
EZT007_seiz003,Q9,0.4165,12
EZT007_seiz003,C3,0.3977,13
EZT007_seiz003,Q8,0.3842,13
EZT007_seiz003,C1,0.3404,14
EZT007_seiz003,F2,0.3049,14
EZT007_seiz003,F3,0.2293,16
EZT007_seiz003,Y1,0.2195,16
EZT007_seiz003,X10,0.2062,16
EZT007_seiz003,X9,0.2043,16
EZT007_seiz003,I3,0.1824,17
EZT007_seiz003,U3,0.1664,17
EZT007_seiz003,X2,0.1329,18
EZT007_seiz003,M8,0.0829,19
EZT007_seiz003,Y9,0.0623,19
EZT007_seiz003,I2,0.0590,19
EZT007_seiz003,Q2,0.0216,20
EZT007_seiz003,F9,0.0154,20
EZT007_seiz003,Q3,0.0137,20
EZT007_seiz003,U2,0.0119,20
EZT007_seiz003,Q1,0.0007,20
